Prekladiste 1: 452 hospod
Prekladiste 2: 524 hospod
Prekladiste 3: 435 hospod
Prekladiste 4: 534 hospod
Prekladiste 5: 490 hospod
Prekladiste 6: 429 hospod
Prekladiste 7: 434 hospod
Prekladiste 8: 502 hospod
Prekladiste soucet: 3800
Pivovar: 200
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=20]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2073]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2082]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2097]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2122]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2131]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2156]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2182]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2188]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2205]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2212]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2214]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2218]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2229]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=2230]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2262]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2274]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2293]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2299]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2306]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2355]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2433]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2438]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2481]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2499]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2519]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2595]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2645]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2649]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2719]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2750]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2768]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=2783]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2784]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2833]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2895]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2906]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2932]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2943]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2966]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2971]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2975]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3007]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3019]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3035]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3046]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3049]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3057]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3089]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3098]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3105]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3127]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3147]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3171]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3172]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3174]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3178]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=3182]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3214]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=3249]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3252]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3254]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3268]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3294]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3304]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3312]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3381]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3387]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3399]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3405]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=3407]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=3422]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3429]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3439]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3443]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3528]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3551]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3562]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3565]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3590]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3623]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3624]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3631]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3638]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3665]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3676]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3690]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=3691]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3696]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3736]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3745]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3752]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3758]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3834]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=3844]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=3871]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3893]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3930]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=2407]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2535]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2661]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=3351]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=3564]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=3720]
Prekladiste 0 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=3902]
Auto 4 patrici prekladisti 3 vyklada v case: den 0 8:14 Objednavka: [den=0, cas=den 0 0:0, objem=6, id=835]
Auto 7 patrici prekladisti 6 vyklada v case: den 0 8:20 Objednavka: [den=0, cas=den 0 0:0, objem=6, id=3182]
Auto 8 patrici prekladisti 7 vyklada v case: den 0 8:27 Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1730]
Auto 5 patrici prekladisti 4 vyklada v case: den 0 8:35 Objednavka: [den=0, cas=den 0 0:0, objem=5, id=684]
Auto 3 patrici prekladisti 2 vyklada v case: den 0 8:35 Objednavka: [den=0, cas=den 0 0:0, objem=5, id=324]
Auto 2 patrici prekladisti 1 vyklada v case: den 0 8:44 Objednavka: [den=0, cas=den 0 0:0, objem=6, id=73]
Auto 1 patrici prekladisti 0 vyklada v case: den 0 8:49 Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1666]
Auto 7 patrici prekladisti 6 vyklada v case: den 0 8:51 Objednavka: [den=0, cas=den 0 0:0, objem=3, id=2932]
Auto 4 patrici prekladisti 3 vyklada v case: den 0 8:53 Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2188]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=16]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=19]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=24]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=31]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=33]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=39]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=45]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=46]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=59]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=83]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=99]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=106]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=136]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=147]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=154]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=157]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=166]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=176]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=184]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=195]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=203]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=213]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=243]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=244]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=247]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=263]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=285]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=290]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=298]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=327]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=329]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=347]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=349]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=353]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=378]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=394]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=397]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=407]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=414]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=419]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=429]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=440]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=454]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=457]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=465]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=481]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=497]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=506]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=508]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=519]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=525]
